date,nav,mean_300,mean_250,mean_200,mean_50,mean_25,mean_10,mean_5,mean_3,mean_2
01-01-2013,163.6338,,,,,,,,,
02-01-2013,164.7386,,,,,,,,,164.18619999999999
03-01-2013,165.1558,,,,,,,,164.5094,164.9472
04-01-2013,165.3131,,,,,,,,165.06916666666666,165.23444999999998
07-01-2013,164.5376,,,,,,,164.67577999999997,165.00216666666665,164.92534999999998
08-01-2013,164.9539,,,,,,,164.9398,164.93486666666664,164.74575
09-01-2013,164.3239,,,,,,,164.85686,164.60513333333333,164.6389
10-01-2013,164.2936,,,,,,,164.68442,164.52380000000002,164.30875
11-01-2013,164.3046,,,,,,,164.48272,164.30736666666667,164.2991
14-01-2013,166.3083,,,,,,164.75632000000002,164.83685999999997,164.96883333333332,165.30644999999998
15-01-2013,166.9794,,,,,,165.09088,165.24196,165.86409999999998,166.64385
16-01-2013,165.5729,,,,,,165.17431000000002,165.49176,166.28686666666667,166.27615
17-01-2013,166.793,,,,,,165.33803,165.99164000000002,166.44843333333333,166.18295
18-01-2013,167.4054,,,,,,165.54726,166.6118,166.59043333333332,167.0992
21-01-2013,167.921,,,,,,165.8856,166.93434000000002,167.37313333333333,167.6632
22-01-2013,166.915,,,,,,166.08171,166.92146,167.4138,167.418
23-01-2013,167.318,,,,,,166.38112,167.27048,167.38466666666667,167.1165
24-01-2013,166.4637,,,,,,166.59813,167.20462,166.8989,166.89085
25-01-2013,167.9549,,,,,,166.96316000000002,167.31452,167.24553333333336,167.20929999999998
28-01-2013,167.9428,,,,,,167.12660999999997,167.31887999999998,167.4538,167.94885
29-01-2013,167.0051,,,,,,167.12918,167.33689999999999,167.63426666666666,167.47395
30-01-2013,167.1213,,,,,,167.28402,167.29756,167.3564,167.0632
31-01-2013,166.2025,,,,,,167.22496999999998,167.24532,166.7763,166.6619
01-02-2013,165.2518,,,,,,167.00960999999998,166.7047,166.19186666666667,165.72715
04-02-2013,164.993,,,,,165.97612,166.71681,166.11473999999998,165.48243333333332,165.1224
05-02-2013,164.2487,,,,,166.00071599999998,166.45018,165.56346000000002,164.8311666666667,164.62085000000002
06-02-2013,164.0776,,,,,165.974276,166.12614,164.95472,164.43976666666666,164.16315
07-02-2013,163.5793,,,,,165.911216,165.83769999999998,164.43008,163.96853333333334,163.82844999999998
08-02-2013,162.7865,,,,,165.810152,165.32085999999998,163.93702,163.4811333333333,163.1829
